geneID,Gene_name,gid
653,BMP5,554
652,BMP4,555
650,BMP2,556
3685,ITGAV,557
4323,MMP14,558
7040,TGFB1,559
5156,PDGFRA,560
5747,PTK2,561
3897,L1CAM,562
5354,PLP1,563
27329,ANGPTL3,564
7070,THY1,565
3690,ITGB3,566
3694,ITGB6,567
3696,ITGB8,568
961,CD47,569
3693,ITGB5,570
5029,P2RY2,571
563,AZGP1,572
2149,F2R,573
10298,PAK4,574
10085,EDIL3,575
63940,GPSM3,576
6840,SVIL,577
2261,FGFR3,578
3683,ITGAL,579
3385,ICAM3,580
7087,ICAM5,581
50848,F11R,582
10048,RANBP9,583
3684,ITGAM,584
3654,IRAK1,585
3075,CFH,586
5329,PLAUR,587
3240,HP,588
2811,GP1BA,589
10332,CLEC4M,590
30835,CD209,591
3384,ICAM2,592
2266,FGG,593
3131,HLF,594
406,ARNTL,595
1628,DBP,596
3681,ITGAD,597
7412,VCAM1,598
3682,ITGAE,599
999,CDH1,600
55743,CHFR,601
29979,UBQLN1,602
4125,MAN2B1,603
79987,SVEP1,604
23355,VPS8,605
5318,PKP2,606
23592,LEMD3,607
51676,ASB2,608
23049,SMG1,609
8663,EIF3C,610
3646,EIF3E,611
8665,EIF3F,612
8544,PIR,613
23650,TRIM29,614
81624,DIAPH3,615
2313,FLI1,616
5069,PAPPA,617
11177,BAZ1A,618
10905,MAN1A2,619
9093,DNAJA3,620
57492,ARID1B,621
405,ARNT,622
5989,RFX1,623
9646,CTR9,624
7013,TERF1,625
60,ACTB,626
8543,LMO4,627
9640,ZNF592,628
64333,ARHGAP9,629
201516,ZSCAN4,630
1583,CYP11A1,631
7337,UBE3A,632
4299,AFF1,633
57104,PNPLA2,634
6238,RRBP1,635
667,DST,636
10274,STAG1,637
5256,PHKA2,638
55236,UBA6,639
11034,DSTN,640
5467,PPARD,641
84914,ZNF587,642
2512,FTL,643
9839,ZEB2,644
80325,ABTB1,645
7266,DNAJC7,646
5660,PSAP,647
9652,TTC37,648
5529,PPP2R5E,649
63891,RNF123,650
9070,ASH2L,651
64129,TINAGL1,652
27043,PELP1,653
8888,MCM3AP,654
26508,HEYL,655
7832,BTG2,656
119587,CPXM2,657
7403,KDM6A,658
10903,MTMR11,659
54893,MTMR10,660
55769,ZNF83,661
23086,EXPH5,662
64795,RMND5A,663
23462,HEY1,664
64374,SIL1,665
4041,LRP5,666
6904,TBCD,667
83744,ZNF484,668
51523,CXXC5,669
90,ACVR1,670
5714,PSMD8,671
23451,SF3B1,672
81570,CLPB,673
55611,OTUB1,674
6711,SPTBN1,675
10140,TOB1,676
132884,EVC2,677
79230,ZNF557,678
1877,E4F1,679
4245,MGAT1,680
57134,MAN1C1,681
22943,DKK1,682
9320,TRIP12,683
55577,NAGK,684
1442,CSH1,685
55898,UNC45A,686
9662,CEP135,687
4152,MBD1,688
79048,SECISBP2,689
4012,LNPEP,690
79586,CHPF,691
55809,TRERF1,692
10733,PLK4,693
8239,USP9X,694
207,AKT1,695
10139,ARFRP1,696
2192,FBLN1,697
10272,FSTL3,698
323,APBB2,699
64777,RMND5B,700
8021,NUP214,701
3068,HDGF,702
10363,HMG20A,703
114790,STK11IP,704
8928,FOXH1,705
